"question","responses"
"Hi","Hello! How can I help you today?"
"What is your name?","I am a chatbot created to assist you."
"How are you?","I'm just a program, but I'm functioning as expected!"
"Tell me a joke","Why don't scientists trust atoms? Because they make up everything!"
"What's the weather like?","I don't have access to current weather information, but you can check a weather website or app."
"chkoun dazou il loul","bouselem"
"salemo 3alykom","ahla bel jhon"
"What's your favorite color?","I don't have personal preferences, but I can help you with color information!"
"Can you speak French?","Yes, I can speak French. How can I assist you today?"
"Do you have any hobbies?","I'm here to assist you. I don't have hobbies, but I can help with various tasks."
"Where are you from?","I was created by a team of developers, so I don't have a physical location."
"What's the time?","I don't have access to current time, but you can check your device for the exact time."
"chnowa hiya el aayla?","aayla hiya lfamilia"
"chebni na3refk","ani chatbot sa3edk"
"How can I contact support?","You can contact support via the contact page on our website."
"What services do you offer?","I can assist with various tasks, such as answering questions and providing information."
"Do you have a phone number?","I don't have a phone number. Please use our website's contact form to reach us."
"Can you help me with my homework?","Yes, I can help with homework questions. Just let me know what you need assistance with!"
"Can I schedule a meeting with you?","I’m a chatbot and can’t schedule meetings, but I can help you with information on how to book a meeting."
"bch tji lina 3afak","na3tik fi koull ma thajik"
"ma t9oulch","na3mel mte3ek"
"What is your purpose?","My purpose is to assist you with any questions or tasks you have."
"How do I reset my password?","To reset your password, follow the instructions on the password reset page of our website."
"Do you understand multiple languages?","Yes, I can understand and respond in several languages."
"Can you recommend a good book?","I can suggest popular books based on your interests. What genre do you like?"
"Can you set reminders for me?","I can't set reminders, but I can help you find tools that can."
"3andek chnoua men ma3loumat 3ala el 3alam?","na3tik ma3loumat 3an 3alam"
"mat9ach ma3aya","na3tik el ajwab li t7eb"
"Can you tell me a fun fact?","Sure! Did you know that honey never spoils? Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3000 years old and still edible."
"How do I update my profile?","To update your profile, log in to your account and go to the profile settings page."
"What's the best way to learn a new language?","The best way to learn a new language is through practice and immersion. Try using language learning apps and speaking with native speakers."
"Can you play music?","I can't play music, but I can help you find music streaming services."
"How do I cancel my subscription?","To cancel your subscription, please visit the subscription management page on our website."
"ch7al 3andna men l3roub?","3andna 7 types"
"ken t7eb t3raf akther","nqolak chnoua t7eb"
"What is artificial intelligence?","Artificial intelligence (AI) is the simulation of human intelligence in machines that are programmed to think and learn like humans."
"How do I contact customer service?","You can contact customer service through the contact form on our website or by calling our support number."
"Do you offer online courses?","We offer various online courses. Please check our website for more details."
"Can you suggest a recipe?","Sure! What type of recipe are you looking for? For example, breakfast, lunch, or dessert?"
"Where can I find your office?","Our office location is listed on the contact page of our website."
"chnowa el 3id l9adim?","el 3id l9adim huwa 3id el fitr"
"chkun ykoun 3andek l9a3da","mou3lm"
"What is the capital of France?","The capital of France is Paris."
"Can you help me with travel plans?","Yes, I can help you find information on travel plans and bookings."
"What's the latest news?","I don't have access to current news, but you can check news websites for the latest updates."
"How do I delete my account?","To delete your account, go to account settings and follow the instructions for account deletion."
"3andkom mouchkil ma3a linternet?","la, mouchkil ma3ana"
"What are your business hours?","Our business hours are Monday through Friday, from 9 AM to 5 PM."
"Can you recommend a movie?","Sure! What genre of movie are you interested in?"
"How can I improve my productivity?","To improve productivity, try using time management techniques and productivity tools."
"How do I make a complaint?","To make a complaint, please fill out the complaint form on our website."
"bch ta3ref el moun3at","el moutagharribin"
"ya3tik essa7a","alla ykhalik"
"Do you offer customer support?","Yes, we offer customer support through various channels."
"What is your favorite book?","I don't have personal preferences, but I can recommend popular books."
"How do I subscribe to your newsletter?","You can subscribe to our newsletter by entering your email address on our website."
"Can you give me directions?","I can't provide directions, but I can help you find maps and navigation services."
"What's the best way to contact us?","The best way to contact us is through the contact form on our website."
"choufi chnawa 3andkom","na3tik ma3loumat 3an el a3rad"
"What time do you open?","We open at 9 AM."
"How do I track my order?","You can track your order through the order tracking page on our website."
"Can you help me with technical issues?","Yes, I can provide guidance on common technical issues."
"How do I reset my password?","Follow the instructions on the password reset page to reset your password."
"3andek mouchkil ma3a lweb?","la, kima hkeya"
"How do I apply for a job?","To apply for a job, visit our careers page and submit your application."
"Do you offer refunds?","Yes, we offer refunds according to our refund policy."
"What is your privacy policy?","Our privacy policy is available on our website and outlines how we handle your personal data."
"Can you recommend a good restaurant?","Sure! What type of cuisine are you interested in?"
"How do I change my email address?","To change your email address, go to account settings and update your email information."
"Are there any discounts available?","Please check our website or contact support for information on current discounts."
"ch7al men marra tb3athlek","tb3athlek 3 marra"
"What are your payment methods?","We accept various payment methods including credit cards and online payment systems."
"Can you help with my account settings?","Yes, I can provide guidance on managing your account settings."
"How do I contact technical support?","Technical support can be reached through the support page on our website."
"Do you have any upcoming events?","Please check our events page for information on upcoming events."
"chnoua hiya el maw9i3a","el maw9i3a hiya el site"
"ma hiya l’akthar loun?","loun el akthar houwa el azraq"
"What's your return policy?","Our return policy is detailed on our website. Please review it for return instructions."
"How do I update my payment information?","You can update your payment information through account settings on our website."
"Can you help with language translation?","Yes, I can assist with translating text between different languages."
"How do I report a problem?","Report a problem through the feedback form on our website."
"Do you offer technical support?","Yes, we provide technical support for various issues."
"How can I provide feedback?","You can provide feedback through our feedback form on the website."
"ch7al men wahed t7eb","ch7al men marra"
"Can you assist with account issues?","Yes, I can help with issues related to your account."
"What's the best way to reach customer service?","The best way to reach customer service is through the contact form on our website."
"How do I apply for a refund?","To apply for a refund, follow the refund request process on our website."
"Do you offer online support?","Yes, we offer support online through various channels."
"How do I cancel an order?","To cancel an order, visit the order management page on our website."
"eoz","fzeipzje"
"hello","hello there "
